Name,Value,Comments
Reproduction.Basic.TimeUnitImplementation,1,0 = day; 1 = month; 2 = year
Reproduction.Basic.SemelparityAdultMassAllocation,0.5,
Reproduction.Basic.MassRatioThreshold,1.5,
Reproduction.Basic.MassEvolutionProbabilityThreshold,0.95,
Reproduction.Basic.MassEvolutionStandardDeviation,0.05,
Metabolism.Endotherm.TimeUnitImplementation,0,0 = day; 1 = month; 2 = year
Metabolism.Endotherm.MetabolismMassExponent,0.7,
Metabolism.Endotherm.NormalizationConstant,908091000000,
Metabolism.Endotherm.ActivationEnergy,0.69,
BoltzmannConstant,0.00008617,
Metabolism.EnergyScalar,0.036697248,
Metabolism.Ectotherm.TimeUnitImplementation,0,
Metabolism.Ectotherm.MetabolismMassExponent,0.88,
Metabolism.Ectotherm.NormalizationConstant,148984000000,
Metabolism.Ectotherm.ActivationEnergy,0.69,
Metabolism.Ectotherm.BasalMetabolismMassExponent,0.69,
Metabolism.Ectotherm.NormalizationConstantBMR,41918272883,
Activity.Terrestrial.WarmingToleranceIntercept,6.61,
Activity.Terrestrial.WarmingToleranceSlope,1.6,
Activity.Terrestrial.TSMIntercept,1.51,
Activity.Terrestrial.TSMSlope,1.53,
Mortality.Background.TimeUnitImplementation,0,0 = day; 1 = month; 2 = year
Mortality.Background.MortalityRate,0.001,
Mortality.Senescence.TimeUnitImplementation,0,
Mortality.Senescence.MortalityRate,0.003,
Mortality.Starvation.TimeUnitImplementation,0,0 = day; 1 = month; 2 = year
Mortality.Starvation.LogisticInflectionPoint,0.6,
Mortality.Starvation.LogisticScalingParameter,0.05,
Mortality.Starvation.MaximumStarvationRate,1,
Herbivory.RevisedHerbivory.TimeUnitImplementation,0,0 = day; 1 = month; 2 = year
Herbivory.RevisedHerbivory.Marine.HandlingTimeScalar,0.7,
Herbivory.RevisedHerbivory.Terrestrial.HandlingTimeScalar,0.7,
Herbivory.RevisedHerbivory.Marine.HandlingTimeExponent,0.7,
Herbivory.RevisedHerbivory.Terrestrial.HandlingTimeExponent,0.7,
Herbivory.RevisedHerbivory.HandlingTimeReferenceMass,1,
Herbivory.RevisedHerbivory.RateMassExponent,1,
Herbivory.RevisedHerbivory.RateConstant,1.00E-11,
Herbivory.RevisedHerbivory.Terrestrial.AttackRateExponent,2,
Herbivory.RevisedHerbivory.Marine.AttackRateExponent,2,
Predation.RevisedPredation.TimeUnitImplementation,0,0 = day; 1 = month; 2 = year
Predation.RevisedPredation.Terrestrial.HandlingTimeScalar,0.5,
Predation.RevisedPredation.Marine.HandlingTimeScalar,0.5,
Predation.RevisedPredation.Terrestrial.HandlingTimeExponent,0.7,
Predation.RevisedPredation.Marine.HandlingTimeExponent,0.7,
Predation.RevisedPredation.HandlingTimeReferenceMass,1,
Predation.RevisedPredation.KillRateConstant,0.000001,
Predation.RevisedPredation.KillRateConstantMassExponent,1,
Predation.RevisedPredation.FeedingPreferenceStandardDeviation,0.7,
Predation.RevisedPredation.NumberOfMassAggregationBins,12,
Dispersal.Advective.TimeUnitImplementation,1,0 = day; 1 = month; 2 = year
Dispersal.Advective.HorizontalDiffusivity,100,m^2/s
Dispersal.Advective.AdvectiveModelTimeStepLengthHours,18,hours
Dispersal.Diffusive.TimeUnitImplementation,1,0 = day; 1 = month; 2 = year
Dispersal.Diffusive.DispersalSpeedBodyMassScalar,0.0278,
Dispersal.Diffusive.DispersalSpeedBodyMassExponent,0.48,
Dispersal.Responsive.TimeUnitImplementation,1,0 = day; 1 = month; 2 = year
Dispersal.Responsive.DensityThresholdScaling,50000,
Dispersal.Responsive.StarvationDispersalBodyMassThreshold,0.8,
Dispersal.Responsive.DispersalSpeedBodyMassScalar,0.0278,
Dispersal.Responsive.DispersalSpeedBodyMassExponent,0.48,
AutotrophProcessor.ConvertNPPtoAutotroph.PhytoplanktonConversionRatio,10,
RevisedTerrestrialPlantModel.max_NPP,0.961644704,
RevisedTerrestrialPlantModel.t1_NPP,0.237468183,
RevisedTerrestrialPlantModel.t2_NPP,0.100597089,
RevisedTerrestrialPlantModel.p_NPP,0.001184101,
RevisedTerrestrialPlantModel.FracStructScalar,7.154615419,
RevisedTerrestrialPlantModel.a_FracEvergreen,1.270782192,
RevisedTerrestrialPlantModel.b_FracEvergreen,-1.828591558,
RevisedTerrestrialPlantModel.c_FracEvergreen,0.844864063,
RevisedTerrestrialPlantModel.m_EGLeafMortality,0.040273936,
RevisedTerrestrialPlantModel.c_EGLeafMortality,1.013070062,
RevisedTerrestrialPlantModel.m_DLeafMortality,0.020575964,
RevisedTerrestrialPlantModel.c_DLeafMortality,-1.195235464,
RevisedTerrestrialPlantModel.m_FRootMort,0.04309283,
RevisedTerrestrialPlantModel.c_FRootMort,-1.478393163,
RevisedTerrestrialPlantModel.p2_StMort,0.139462774,
RevisedTerrestrialPlantModel.p1_StMort,-4.395910091,
RevisedTerrestrialPlantModel.MaxFracStruct,0.362742634,
RevisedTerrestrialPlantModel.LFSHalfSaturation_Fire,0.388125108,
RevisedTerrestrialPlantModel.LFSScalar_Fire,19.98393943,
RevisedTerrestrialPlantModel.NPPHalfSaturation_Fire,1.148698636,
RevisedTerrestrialPlantModel.NPPScalar_Fire,8.419032427,
RevisedTerrestrialPlantModel.er_min,0.01,
RevisedTerrestrialPlantModel.er_max,24,
RevisedTerrestrialPlantModel.dr_min,0.01,
RevisedTerrestrialPlantModel.dr_max,24,
RevisedTerrestrialPlantModel.frm_min,0.01,
RevisedTerrestrialPlantModel.frm_max,12,
RevisedTerrestrialPlantModel.stm_max,1,
RevisedTerrestrialPlantModel.stm_min,0.001,
RevisedTerrestrialPlantModel.BaseScalar_Fire,2,
RevisedTerrestrialPlantModel.MinReturnInterval,0.00000226032940698105,
RevisedTerrestrialPlantModel.MassCarbonPerMassLeafDryMatter,0.476,"g g-1 (from Kattge et al. (2011), TRY- A global database of plant traits, Global Change Biology)"
RevisedTerrestrialPlantModel.MassLeafDryMatterPerMassLeafWetMatter,0.213,"g g-1 (from Kattge et al. (2011), TRY- A global database of plant traits, Global Change Biology)"
